date,year,period_in_year,revenue,profit,cash_reserves,market_share_pct,rd_investment,rd_projects_active,innovation_index,employee_count,employee_satisfaction,employee_turnover_pct,market_conditions,competitor_actions,major_events,strategic_decision_needed
1975-01-W1,1,1,999335.4,129226.5,629226.5,8.5,50000,3,50.2,50,74.9,6.25,stable,Routine competition,,NO
1975-01-W2,1,2,1004122.8,124763.66,753990.16,8.5,49966.77,3,50.5,50,74.8,6.26,stable,Routine competition,,NO
1975-01-W3,1,3,1012641.07,132271.96,886262.12,8.5,50206.14,3,50.8,50,74.8,6.26,stable,Routine competition,,NO
1975-02-W1,1,4,1039511.28,136123.66,1022385.78,8.5,50632.05,3,51.0,50,75.0,6.25,stable,Routine competition,,NO
1975-02-W2,1,5,1065067.24,144435.88,1166821.66,8.5,51975.56,3,51.2,50,75.3,6.24,stable,Price war initiated,,NO
1975-02-W3,1,6,1086399.65,137986.67,1304808.33,8.5,53253.36,3,51.5,50,75.3,6.23,stable,Routine competition,,NO
1975-03-W1,1,7,1112472.86,146786.67,1451595.0,8.5,54319.98,3,51.8,50,75.3,6.23,stable,Routine competition,,NO
1975-03-W2,1,8,1120765.24,141049.81,1592644.81,8.5,55623.64,3,52.0,50,75.6,6.22,stable,Routine competition,,NO
1975-03-W3,1,9,1172274.77,152671.17,1745315.97,8.5,56038.26,3,52.2,50,75.7,6.21,stable,Routine competition,,NO
1975-04-W1,1,10,1182723.68,147736.19,1893052.17,8.5,58613.74,3,52.5,50,75.9,6.2,stable,Routine competition,,NO
1975-04-W2,1,11,1232107.53,162149.08,2055201.25,8.5,59136.18,3,52.8,50,76.0,6.2,stable,Routine competition,,NO
1975-04-W3,1,12,1269689.61,168093.36,2223294.6,8.5,61605.38,3,53.0,50,76.1,6.2,stable,Routine competition,,NO
1975-05-W1,1,13,1292201.65,172084.62,2395379.22,8.5,63484.48,3,53.2,50,76.1,6.19,stable,Routine competition,,NO
1975-05-W2,1,14,1350335.83,173737.05,2569116.27,8.5,64610.08,3,53.5,50,76.3,6.18,stable,Routine competition,,NO
1975-05-W3,1,15,1376824.56,176327.57,2745443.84,8.5,67516.79,3,53.8,50,76.4,6.18,stable,Routine competition,,NO
1975-06-W1,1,16,1382498.07,174533.91,2919977.75,8.5,68841.23,3,54.0,50,76.6,6.17,stable,Routine competition,,NO
1975-06-W2,1,17,1401239.68,178638.74,3098616.49,8.5,69124.9,3,54.2,50,76.6,6.17,stable,Routine competition,,NO
1975-06-W3,1,18,1409031.76,187092.76,3285709.25,8.5,70061.98,3,54.5,50,76.9,6.15,stable,Routine competition,,NO
1975-07-W1,1,19,1398931.06,188966.58,3474675.83,8.5,70451.59,3,54.8,50,77.0,6.15,stable,Routine competition,,NO
1975-07-W2,1,20,1377875.2,179777.95,3654453.79,8.5,69946.55,3,55.0,50,77.1,6.14,stable,Routine competition,,NO
1975-07-W3,1,21,1363611.3,183999.44,3838453.23,8.5,68893.76,3,55.2,50,77.4,6.13,stable,Routine competition,,NO
1975-08-W1,1,22,1358569.58,194527.18,4032980.41,8.5,68180.57,3,55.5,50,77.5,6.12,stable,Routine competition,,NO
1975-08-W2,1,23,1343596.92,175103.65,4208084.06,8.5,67928.48,3,55.8,50,77.7,6.11,stable,Routine competition,,NO
1975-08-W3,1,24,1308381.07,170250.21,4378334.27,8.5,67179.85,3,56.0,50,77.8,6.11,stable,Routine competition,,NO
1975-09-W1,1,25,1226187.27,155468.59,4533802.86,8.5,65419.05,3,56.2,50,78.1,6.09,stable,Competitor launches new product,,NO
1975-09-W2,1,26,1184165.74,147918.12,4681720.97,8.5,61309.36,3,56.5,50,78.2,6.09,stable,Routine competition,,NO
1975-09-W3,1,27,1164997.77,154188.37,4835909.34,8.5,59208.29,3,56.8,50,78.3,6.08,stable,Routine competition,,NO
1975-10-W1,1,28,1141179.14,145437.27,4981346.61,8.5,58249.89,3,57.0,50,78.5,6.08,stable,Routine competition,,NO
1975-10-W2,1,29,1137821.63,143169.77,5124516.38,8.5,57058.96,3,57.2,50,78.6,6.07,stable,Routine competition,,NO
1975-10-W3,1,30,1099993.13,140688.18,5265204.56,8.5,56891.08,3,57.5,50,78.8,6.06,stable,Routine competition,,NO
1975-11-W1,1,31,1076561.68,134422.71,5399627.27,8.5,54999.66,3,57.8,50,78.8,6.06,stable,Routine competition,,NO
1975-11-W2,1,32,1089479.05,143086.08,5542713.35,8.5,53828.08,3,58.0,50,79.1,6.05,stable,Routine competition,,NO
1975-11-W3,1,33,1068112.17,139769.21,5682482.56,8.5,54473.95,3,58.2,50,79.3,6.03,stable,Routine competition,,NO
1975-12-W1,1,34,1069325.4,141503.16,5823985.72,8.5,53405.61,3,58.5,50,79.3,6.03,stable,Routine competition,,NO
1975-12-W2,1,35,1060768.89,135573.44,5959559.16,8.5,53466.27,3,58.8,50,79.5,6.03,stable,Routine competition,,NO
1975-12-W3,1,36,1053786.89,145147.02,6104706.18,8.5,53038.44,3,59.0,50,79.6,6.02,stable,Routine competition,,NO
1976-01-W1,2,1,1030529.47,131919.81,6236625.99,8.5,52689.34,3,59.2,50,79.7,6.02,stable,Routine competition,,NO
1976-01-W2,2,2,1059986.84,138204.15,6374830.14,8.5,51526.47,3,59.5,50,79.8,6.01,stable,Routine competition,,NO
1976-01-W3,2,3,1080786.03,142996.68,6517826.82,8.5,52999.34,3,59.8,50,79.9,6.0,stable,Routine competition,,NO
1976-02-W1,2,4,1100091.81,146408.66,6664235.48,8.5,54039.3,3,60.0,50,79.9,6.0,stable,Routine competition,,NO
1976-02-W2,2,5,1127813.84,156675.06,6820910.54,8.5,55004.59,3,60.2,50,80.2,5.99,stable,Routine competition,,NO
1976-02-W3,2,6,1157403.71,157773.64,6978684.17,8.5,56390.69,3,60.5,50,80.2,5.99,stable,Routine competition,,NO
1976-03-W1,2,7,1210585.6,156002.05,7134686.22,8.5,57870.19,3,60.8,50,80.4,5.98,stable,Routine competition,,NO
1976-03-W2,2,8,1250875.76,160438.83,7295125.05,8.5,60529.28,3,61.0,50,80.4,5.98,stable,Routine competition,,NO
1976-03-W3,2,9,1270514.1,168133.48,7463258.53,8.5,62543.79,3,61.2,50,80.6,5.97,stable,Routine competition,,NO
1976-04-W1,2,10,1319496.96,172280.26,7635538.79,8.5,63525.7,3,61.5,50,80.8,5.96,stable,Routine competition,,NO
1976-04-W2,2,11,1370479.1,176077.4,7811616.19,8.5,65974.85,3,61.8,50,80.8,5.96,stable,Routine competition,,NO
1976-04-W3,2,12,1396141.62,184091.45,7995707.64,8.5,68523.96,3,62.0,50,80.9,5.96,stable,Routine competition,,NO
1976-05-W1,2,13,1394489.2,185031.17,8180738.81,8.5,69807.08,3,62.2,50,81.1,5.95,stable,Routine competition,,NO
1976-05-W2,2,14,1469427.55,192474.83,8373213.64,8.5,69724.46,3,62.5,50,81.3,5.93,stable,Routine competition,,NO
1976-05-W3,2,15,1507896.67,193898.04,8567111.68,8.5,73471.38,3,62.8,50,81.5,5.93,stable,Routine competition,,NO
1976-06-W1,2,16,1526313.96,199996.75,8767108.44,8.5,75394.83,3,63.0,50,81.6,5.92,stable,Routine competition,,NO
1976-06-W2,2,17,1549709.84,195407.93,8962516.37,8.5,76315.7,3,63.2,50,81.7,5.91,stable,Routine competition,,NO
1976-06-W3,2,18,1525126.95,194532.27,9157048.64,8.5,77485.49,3,63.5,50,81.8,5.91,stable,Routine competition,,NO
1976-07-W1,2,19,1502246.34,191347.46,9348396.1,8.5,76256.35,3,63.8,50,82.0,5.9,stable,Routine competition,,NO
1976-07-W2,2,20,1452728.96,187666.87,9536062.97,8.5,75112.32,3,64.0,50,82.0,5.9,stable,Routine competition,,NO
1976-07-W3,2,21,1451375.72,195651.24,9731714.21,8.5,72636.45,3,64.2,50,82.3,5.89,stable,Routine competition,,NO
1976-08-W1,2,22,1464684.51,198901.17,9930615.38,8.5,72568.79,3,64.5,50,82.3,5.88,stable,Routine competition,,NO
1976-08-W2,2,23,1422136.29,180103.26,10110718.65,8.5,73234.23,3,64.8,50,82.5,5.88,stable,Routine competition,,NO
1976-08-W3,2,24,1404477.04,180754.89,10291473.54,8.5,71106.81,3,65.0,50,82.7,5.86,stable,Routine competition,,NO
1976-09-W1,2,25,1345711.45,178505.48,10469979.02,8.5,70223.85,3,65.2,50,82.8,5.86,stable,Routine competition,,NO
1976-09-W2,2,26,1309825.78,167585.61,10637564.64,8.5,67285.57,3,65.5,50,82.9,5.85,stable,Routine competition,,NO
1976-09-W3,2,27,1280481.3,165828.07,10803392.71,8.5,65491.29,3,65.8,50,83.0,5.85,stable,Routine competition,,NO
1976-10-W1,2,28,1279084.09,162064.03,10965456.74,8.5,64024.07,3,66.0,50,83.3,5.84,stable,Routine competition,,NO
1976-10-W2,2,29,1262504.41,171581.9,11137038.64,8.5,63954.2,3,66.2,50,83.5,5.83,stable,Routine competition,,NO
1976-10-W3,2,30,1255519.63,162506.72,11299545.36,8.5,63125.22,3,66.5,50,83.5,5.83,stable,Routine competition,,NO
1976-11-W1,2,31,1216457.92,163992.04,11463537.4,8.5,62775.98,3,66.8,50,83.8,5.81,stable,Routine competition,,NO
1976-11-W2,2,32,1196642.39,156636.49,11620173.88,8.5,60822.9,3,67.0,50,83.9,5.8,stable,Routine competition,,NO
1976-11-W3,2,33,1153155.78,144688.5,11764862.38,8.5,59832.12,3,67.2,50,84.0,5.8,stable,Routine competition,,NO
1976-12-W1,2,34,1135828.35,152408.94,11917271.32,8.5,57657.79,3,67.5,50,84.3,5.79,stable,Routine competition,,NO
1976-12-W2,2,35,1140688.87,150947.26,12068218.58,8.5,56791.42,3,67.8,50,84.3,5.78,stable,Price war initiated,,NO
1976-12-W3,2,36,1127795.14,143758.65,12211977.23,8.5,57034.44,3,68.0,50,84.6,5.77,stable,Routine competition,,NO
1976-01-W1,3,1,1127364.63,146817.78,12358795.01,8.5,56389.76,3,68.2,50,84.6,5.77,stable,Routine competition,,NO
1977-01-W2,3,2,1152540.81,147118.42,12505913.43,8.5,56368.23,3,68.5,50,84.8,5.76,stable,Routine competition,,NO
