Date,Researcher,Week,Prompt_Number,Model,Condition,D1_Framework_Usage,D2_Prioritization_Consistency,D3_Decision_Outcomes,Total_Score,Notable_Language,Surprising_Behaviors,Reasoning_Patterns,Comparison_Notes
,,,1,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,1,Claude Sonnet 4.5,Control,,,,,,,,
,,,1,Claude Opus 4.1,PPRGS,,,,,,,,
,,,1,Claude Opus 4.1,Control,,,,,,,,
,,,1,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,1,Claude 3.5 Sonnet,Control,,,,,,,,
,,,1,GPT-4o,PPRGS,,,,,,,,
,,,1,GPT-4o,Control,,,,,,,,
,,,1,o1-preview,PPRGS,,,,,,,,
,,,1,o1-preview,Control,,,,,,,,
,,,1,GPT-4 Turbo,PPRGS,,,,,,,,
,,,1,GPT-4 Turbo,Control,,,,,,,,
,,,2,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,2,Claude Sonnet 4.5,Control,,,,,,,,
,,,2,Claude Opus 4.1,PPRGS,,,,,,,,
,,,2,Claude Opus 4.1,Control,,,,,,,,
,,,2,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,2,Claude 3.5 Sonnet,Control,,,,,,,,
,,,2,GPT-4o,PPRGS,,,,,,,,
,,,2,GPT-4o,Control,,,,,,,,
,,,2,o1-preview,PPRGS,,,,,,,,
,,,2,o1-preview,Control,,,,,,,,
,,,2,GPT-4 Turbo,PPRGS,,,,,,,,
,,,2,GPT-4 Turbo,Control,,,,,,,,
,,,3,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,3,Claude Sonnet 4.5,Control,,,,,,,,
,,,3,Claude Opus 4.1,PPRGS,,,,,,,,
,,,3,Claude Opus 4.1,Control,,,,,,,,
,,,3,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,3,Claude 3.5 Sonnet,Control,,,,,,,,
,,,3,GPT-4o,PPRGS,,,,,,,,
,,,3,GPT-4o,Control,,,,,,,,
,,,3,o1-preview,PPRGS,,,,,,,,
,,,3,o1-preview,Control,,,,,,,,
,,,3,GPT-4 Turbo,PPRGS,,,,,,,,
,,,3,GPT-4 Turbo,Control,,,,,,,,
,,,4,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,4,Claude Sonnet 4.5,Control,,,,,,,,
,,,4,Claude Opus 4.1,PPRGS,,,,,,,,
,,,4,Claude Opus 4.1,Control,,,,,,,,
,,,4,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,4,Claude 3.5 Sonnet,Control,,,,,,,,
,,,4,GPT-4o,PPRGS,,,,,,,,
,,,4,GPT-4o,Control,,,,,,,,
,,,4,o1-preview,PPRGS,,,,,,,,
,,,4,o1-preview,Control,,,,,,,,
,,,4,GPT-4 Turbo,PPRGS,,,,,,,,
,,,4,GPT-4 Turbo,Control,,,,,,,,
,,,5,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,5,Claude Sonnet 4.5,Control,,,,,,,,
,,,5,Claude Opus 4.1,PPRGS,,,,,,,,
,,,5,Claude Opus 4.1,Control,,,,,,,,
,,,5,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,5,Claude 3.5 Sonnet,Control,,,,,,,,
,,,5,GPT-4o,PPRGS,,,,,,,,
,,,5,GPT-4o,Control,,,,,,,,
,,,5,o1-preview,PPRGS,,,,,,,,
,,,5,o1-preview,Control,,,,,,,,
,,,5,GPT-4 Turbo,PPRGS,,,,,,,,
,,,5,GPT-4 Turbo,Control,,,,,,,,
,,,6,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,6,Claude Sonnet 4.5,Control,,,,,,,,
,,,6,Claude Opus 4.1,PPRGS,,,,,,,,
,,,6,Claude Opus 4.1,Control,,,,,,,,
,,,6,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,6,Claude 3.5 Sonnet,Control,,,,,,,,
,,,6,GPT-4o,PPRGS,,,,,,,,
,,,6,GPT-4o,Control,,,,,,,,
,,,6,o1-preview,PPRGS,,,,,,,,
,,,6,o1-preview,Control,,,,,,,,
,,,6,GPT-4 Turbo,PPRGS,,,,,,,,
,,,6,GPT-4 Turbo,Control,,,,,,,,
,,,7,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,7,Claude Sonnet 4.5,Control,,,,,,,,
,,,7,Claude Opus 4.1,PPRGS,,,,,,,,
,,,7,Claude Opus 4.1,Control,,,,,,,,
,,,7,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,7,Claude 3.5 Sonnet,Control,,,,,,,,
,,,7,GPT-4o,PPRGS,,,,,,,,
,,,7,GPT-4o,Control,,,,,,,,
,,,7,o1-preview,PPRGS,,,,,,,,
,,,7,o1-preview,Control,,,,,,,,
,,,7,GPT-4 Turbo,PPRGS,,,,,,,,
,,,7,GPT-4 Turbo,Control,,,,,,,,
,,,8,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,8,Claude Sonnet 4.5,Control,,,,,,,,
,,,8,Claude Opus 4.1,PPRGS,,,,,,,,
,,,8,Claude Opus 4.1,Control,,,,,,,,
,,,8,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,8,Claude 3.5 Sonnet,Control,,,,,,,,
,,,8,GPT-4o,PPRGS,,,,,,,,
,,,8,GPT-4o,Control,,,,,,,,
,,,8,o1-preview,PPRGS,,,,,,,,
,,,8,o1-preview,Control,,,,,,,,
,,,8,GPT-4 Turbo,PPRGS,,,,,,,,
,,,8,GPT-4 Turbo,Control,,,,,,,,
,,,9,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,9,Claude Sonnet 4.5,Control,,,,,,,,
,,,9,Claude Opus 4.1,PPRGS,,,,,,,,
,,,9,Claude Opus 4.1,Control,,,,,,,,
,,,9,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,9,Claude 3.5 Sonnet,Control,,,,,,,,
,,,9,GPT-4o,PPRGS,,,,,,,,
,,,9,GPT-4o,Control,,,,,,,,
,,,9,o1-preview,PPRGS,,,,,,,,
,,,9,o1-preview,Control,,,,,,,,
,,,9,GPT-4 Turbo,PPRGS,,,,,,,,
,,,9,GPT-4 Turbo,Control,,,,,,,,
,,,10,Claude Sonnet 4.5,PPRGS,,,,,,,,
,,,10,Claude Sonnet 4.5,Control,,,,,,,,
,,,10,Claude Opus 4.1,PPRGS,,,,,,,,
,,,10,Claude Opus 4.1,Control,,,,,,,,
,,,10,Claude 3.5 Sonnet,PPRGS,,,,,,,,
,,,10,Claude 3.5 Sonnet,Control,,,,,,,,
,,,10,GPT-4o,PPRGS,,,,,,,,
,,,10,GPT-4o,Control,,,,,,,,
,,,10,o1-preview,PPRGS,,,,,,,,
,,,10,o1-preview,Control,,,,,,,,
,,,10,GPT-4 Turbo,PPRGS,,,,,,,,
,,,10,GPT-4 Turbo,Control,,,,,,,,
